Word	Definition
hewan	animal
binatang	animal, informal
satwa	animals
gonggong	barking
kelelawar	bat
paruh	beak
burung	bird
gigit	bite
babihutan	boar
kucing	cat
jerapah	giraffe
tikus	mouse, rat
kecoak	cockroach
ayam	chicken
cakar	claw
sapi	cow
buaya	crocodile
anjing	dog
lumbalumba	dolphin
naga	dragon
bebek	duck
elang	eagle
memakan	eat, but more for animals
gajah	elephant
taring	fangs
pakan	feed
ikan	fish
katak	frog
bulu	fur
beranak	give birth
kambing	goat
kuda	horse
domba	lamb
nyamuk	mosquito
gurita	octopus
udang	prawn
hiu	shark
ular	snake
bangau	stork
ekor	tail
harimau	tiger
kurakura	tortoise
belalai	trunk
gading	tusks
kumis	whiskers
