Word	Definition	Part of speech	Category	Example sentence	Notes
abang	older brother	noun	family		
peta	map	noun	travel		
acak	jumbled	adjective			
acara	event, program, schedule	noun			
ada	is, are, am	verb		Ada apa	Question
adalah	is, am, are	auxiliary verb			Statement
adik	younger brother	noun	family		
adil	fair	adverb	social		
aduh	ouch	interjection	health		
agama	religion	noun	social		
agar	so that, to cause	conjunction	grammar		
agar-agar	jelly	noun	food		
air	water	noun	food		
ajaib	wonderful, miraculous	adjective			
ajak	to come with	verb	social		
akan	will	verb			
akhir	last/ end	adjective			
akhir pekan	weekend	noun	time		
akhiran	suffix	noun	grammar		
akhirnya	finally	adverb			
akrab	friendly	adjective	social		
aku	I, me	pronoun			
alam	natural	adjective			
alamat	address	noun	travel		
alat-alat	tools	noun			
alis	eyebrow	noun	body		
almari	wardrobe	noun	clothing		
aman	safe	adjective	emergency		
ambil	take, pick up	verb			
anak	child	noun	family		
anak-anak	children	noun	family		
anda	you (formal)	noun	family		
aneh	strange, weird	adjective	social		
anggar	hangar	noun	travel		
anggaran	budget	noun	business		
angkat	lift	verb			
anjing	dog	noun	animals		
antara	in between	preposition			
anu	mmmm	interjection	social		
apa	what	pronoun			
apa-apa	something	noun			
apabila	if	conjunction			Formal
apakah	is, are, do	verb			Question
apalah	whatever	pronoun	social		
apapun	whatever	pronoun, conjunction			
api	fire	noun	emergency		
apotek	chemist	noun	health		
arah	direction	noun	travel		
aroma	smell	noun			
arti	meaning	noun		Apa arti kata itu	
arus	strong current	noun	nature		
asam	sour	adjective	food		
asap	smoke	noun	emergency		
asin	salty	adjective	food		
asli	original, genuine	adjective			
asuh	foster	verb			General care for children.
atas	on top, upper	preposition	travel	naik ke atas	
atau	or	conjunction	grammar		
aturan	rule	noun			
awal	beginning	noun			
awalan	prefix	prefix	grammar		
awas	watch out!	verb	social		
ayah	father	noun	family		Actual father, not an older male.
ayam	chicken	noun	animals		
ayolah	come on	verb	social		
babi	pork	noun	food		
babi hutan	boar	noun	animals		
badan	body	noun	body		
bagaimana	how	adverb		Bagaimana kalau kita pergi camping minggu depan	
bagi	for	preposition			
bagian	slice, part, region	noun		Serangan ini adalah bagian dari perlawanan mereka	
bagus	good for a thing	adjective			
bagusnya	that's good	phrase			
bahagia	happy	adjective	social		
bahaya	danger	noun	emergency		
bahkan	even	adverb			Used to accentuate something
bahu	shoulder	noun	body		
bahwa	that	conjunction	grammar		Flow on conjunction
baik	good	adjective	social		
baikkan	make it better	verb		Kita sudah baikkan	
baiklah	okay	interjection			
baju	dress, clothes	noun	clothing		
bak	tub	noun	home		
bakar	doing bbq or burn	verb	food		
balap	racing	verb			
balapan	race	noun	sport		
balik	come back	verb			
balkon	balcony	noun	home		
ban	tyre	noun	travel		
bandara	airport	noun	travel		
bangau	stork	noun	animals		
banget	very	adjective			
bangun	awake, get up, build	verb			
bangunan	building	noun			
banjir	flood	noun	nature		
bank	bank	noun	business		
bantal	pillow	noun	home		
bantu	help	verb	social		
bantuan	assistance	noun	emergency		
banyak	many	adjective			
bapak	father, older man	mr	family		
barang	items, good	noun			
barangkali	perhaps	adverb			
barat	west	noun	travel		
barat daya	southwest	noun	travel		
barat laut	northwest	noun	travel		
baru	new/ just	adjective			
basah	wet	adjective	weather		
batal	cancel	verb			
batas	limit	noun			
batu	stone	noun			
bau	scent, smell	noun			
bawa	bring	verb			
bawah	under, lower	adjective		Turun ke bawah	
bawang	onion	noun	food		
bayak sekali	a lot	adjective			
bayam	spinach	noun	food		
bayangkan	imagine	verb		Coba kamu banyangkan	
bayi	baby	noun	family		
bebek	duck	noun	animals		
beda	different	adjective			
bedanya	the difference	noun			
begitu	so, like that	adverb			As in very (so much)
bekas	trace, mark	noun		Itu mobil bekas atau baru	
belakang	behind	preposition			
belalai	trunk	noun	animals		
belas	mercy	noun	social		
beli	buy, purchase	verb	shopping		
belikan	to purchase	verb	shopping		
belok	turn	verb	travel		
belum	not yet	adverb	social		
belum masak	not yet ripe	adjective	food		
benang	wool/ cotton/ yarn	noun			
benar	correct	adjective			
benar-benar	truly	adverb			
benaran	really?				
bencana	disaster	noun	emergency		
benda	object, thing	noun			
bendera	flag	noun			
benderang	bright	adjective			
bendungan	dam	noun			
bensin	petrol	noun	travel		
berada	am at	adjective	travel		
