Word	Definition
pergelangankaki	ankle
matakaki	anklebone
lengan	arm
punggung	back
nyeker	bare feet
darah	blood
badan	body
tubuh	body
tulang	bones
otak	brain
pipi	cheek
dada	chest
dagu	chin
telinga	ears
mata	eye
bulamata	eye lashes
alis	eyebrow
wajah	face
buncit	fat
gendut	fat (whole person)
jaritangang	finger
kaki	foot
dahi	forehead
rambut	hair
tangang	hand
kepala	head
jantung	heart
hati	heart or liver
lutut	knees
birbir	lips
eye	mata
mulut	mouth
otot	muscle
kuku	nail
paku	nails
leher	neck
hidung	nose
telapak	palm or sole
bahu	shoulder
elbow	siku
kulit	skin
perut	stomach
gigi	teeth
paha	thigh
tenggorokan	throat
jarikaki	toes
lidah	tongue
pergelangantengang	wrist
