Word	Definition
pisang	banana
bir	beer
pahit	bitter
mangkuk	bowl
sarapan	breakfast
kue	cake
keju	cheese
ayam	chicken
cabai	chilli
sambal	chilli sauce
kopi	coffee
dingin	cold
masak	cooking
jagung	corn
enak	delicious
makan	eat
makanan	food
minum	to drink
minuman	drink
telur	egg
ikan	fish
rasa	flavour
garpu	fork
jahe	ginger
gelas	glass, cup
bakar	grilled, barbequed
panas	hot
lapar	hungry
es	ice
pisau	knife
pasar	market
daging	meat
minyak	oil
satulagi	one more
sepiring	one plate
seporsi	one portion
bawang	onion
memesan	order
pesanan	order
membayar	pay
merica	pepper
babi	pork
bubur	porridge
kentang	potato
nasi	rice
warung	roadside stall
garam	salt
restoran	restaurant
asin	salty
bumbu	seasoning
mas	sir, brother (waiter)
mengiris	slice
jajan	snacking
asam	sour
kecap	soy sauce
pedas	spicy
sendok	spoon
layu	stale
gula	sugar
manis	sweet
meja	table
teh	tea
merebus	to boil
tahu	tofu
sayur	vegetables
cuka	vinegar
mau	want
air	water
