Word	Definition
tentang	about
lawan	against, opponent
juga	also
dan	and
sekitar	around
sebagai	as, by way of
kerena	because
selain	besides, except
tetapi	but
supaya	causing, so that
sebaliknya	conversely
selama	during, as long as
dulu	first, or long time ago
berikut	following, next
bagi	for
namun	however, yet
secara	in a way
antara	in between
lagi	in the process of / again
termasuk	including
pada	on, in, at
atau	or
awalan	prefix
terkait	related to
katadasar	root word
kalimat	sentence
sehurusnya	should/ supposed to
jadi	so
sehingga	so as, until
agar	so that, to cause
yaitu	specifically/ namely
masih	still
akhiran	suffix
daripada	than (compared to)
yang	that (which)
bahwa	that, lest
lalu	then, previous
ke	to
terhadap	towards
hingga	until
vokal	vowel
padahal	whereas, meanwhile
dengan	with
tanpa	without
kata	word
