english,indonesian
above,di atas
accept,terima
across,lintas
act,tindak
actually,sebenarnya
add,tambah
admit,
afraid,
after,nanti
afternoon,siang
again,lagi
against,
age,"umur, usia"
ago,
agree,
ah,
ahead,terus
air,
all,semoa
allow,
almost,
alone,sendiri
along,
already,sudah
alright,
also,juga
although,
always,
am,
amaze,
an,
and,
anger,"amarah, kemarahan"
angry,marah
animal,"hewan, bintang"
annoy,ganggu
another,satu lagi
answer,jawab
any,
anymore,
anyone,
anything,
anyway,
apartment,
apparently,
appear,muncul
approach,mendekati
are,
area,
aren't,
arm,lengan
around,
arrive,tiba
as,
ask,tanya
asleep,tidur
ass,
at,
attack,serang
attempt,
attention,
aunt,
avoid,
away,
baby,bayi
back,
bad,buruk
bag,tas
ball,bola
band,
bar,
barely,
bathroom,kamar mandi
be,
beat,
beautiful,"cantik, indah"
became,
because,kerena
become,
bed,tempat tidur
bedroom,kamar tidur
been,
before,sebelum
began,
begin,
behind,di belakang
believe,
bell,
beside,di samping
besides,
best,terbaik
better,lebih baik
between,di antara
big,besar
bit,
bite,gigit
black,hitam
blink,
block,
blonde,
blood,darah
blue,biru
blush,
body,tubuh
book,buku
bore,
both,keduanya
bother,ganggu
bottle,
bottom,
box,
boy,anak laki-laki
boyfriend,pacar
brain,otak
break,merusak
breakfast,sarapan
breath,
breathe,
bright,
bring,
broke,miskin
broken,
brother,saudara
brought,telah membawa
brown,cokolat
brush,
build,membuat
burn,membakar
burst,
bus,bis
business,bisnis
busy,sibuk
but,tetapi
buy,membeli
by,oleh
call,memanggil
calm,
came,detang
can,bisa
can't,tidak bisa
car,mobil
card,
care,
carefully,
carry,
case,
cat,kucing
catch,
caught,
cause,
cell,
chair,kursi
chance,
change,ganti
chase,
check,
cheek,
chest,dada
child,anak
children,anak-anak
chuckle,
city,kota
class,
clean,bersi
clear,jelas
climb,
close,tutup
clothes,"pakaian, baju"
coffee,kopi
cold,dingin
college,
color,warna
come,detang
comment,
complete,
completely,
computer,
concern,
confuse,
consider,
continue,lanjut
control,
conversation,percapakan
cool,"dingin, keren"
corner,
couch,
could,
couldn't,
counter,
couple,
course,
cover,
crack,
crazy,gila
cross,
crowd,
cry,menangis
cup,
cut,potong
cute,komel
dad,ayah
damn,
dance,
dark,gelap
date,tanggal
daughter,putri
day,hari
dead,meninggal
deal,
dear,
death,
decide,
deep,dalam
definitely,
desk,
did,
didn't,
die,meninggal
different,berbeda
dinner,makan malam
direction,arah
disappear,menghilang
do,melakakuan
doctor,doktor
does,
doesn't,
dog,anging
don't,jangan
done,
door,
doubt,
down,turun
drag,
draw,menggambar
dream,
dress,gaun
drink,minuman
drive,menyopir
drop,menjatuhkan
drove,
dry,kering
during,
each,setiap
ear,telinga
early,
easily,
easy,mudah
eat,makan
edge,
either,
else,
empty,
end,akhir
enjoy,menyenangkan
enough,cukup
enter,memasuki
entire,
escape,
especially,
even,pun
evening,sore
eventually,
ever,
every,setiap
everyone,setiap orang
everything,
exactly,
except,
excite,
exclaim,
excuse,maafkan
expect,
explain,
expression,
eye,mata
eyebrow,
face,wajah
fact,
fall,jatuh
family,
far,jauh
fast,cepat
father,ayah
fault,
favorite,favorit
fear,
feel,
feet,kaki
fell,
felt,menjatuhkan
few,
field,lapangan
fight,
figure,
fill,penuh
finally,akhirnya
find,
fine,
finger,
finish,menyelasaikan
fire,api
first,pertama
fit,
five,lima
fix,memperbaiki
flash,
flip,
floor,lantai
fly,terbang
focus,
follow,ikut
food,makanan
foot,kaki
for,untuk
force,
forget,lupa
form,
forward,
found,
four,empat
free,libur
friend,"teman, kewan"
from,dari
front,depan
frown,
fuck,
full,penuh
fun,
funny,lucu
further,
game,
gasp,
gave,telah memberi
gaze,
gently,lembut
get,
giggle,
girl,perempuan
girlfriend,
give,memberi
given,diberikan
glad,
glance,
glare,
glass,kaca
go,pergi
God,
gone,
gonna,
good,bagus
got,
gotten,
grab,
great,
green,hijau
greet,
grey,
grin,
grip,
groan,
ground,
group,
grow,
guard,
guess,
gun,
guy,
had,
hadn't,
hair,rambut
half,setengah
hall,
hallway,
hand,
handle,
hang,
happen,
happy,
hard,keras
has,
hate,
have,
haven't,
he,dia
he'd,
he's,
head,kepala
hear,dengar
heard,
heart,jantung
heavy,berat
held,
hell,
hello,
help,tolong
her,dia
here,di sini
herself,
hey,
hi,
hide,
