Word	Definition
saya	I, me
kenalan	acquaintance
sebaiknya	advisable, best, proper
usia	age
menghidup	alive
sendiri	alone
kenalkan	an introduction
marah	angry
berkenalan	aquanited
tanya	ask
suasana	atmosphere
serangan	attack
hatihati	be careful
perbuatan	behaviour
hariulangtahun	birthday. (ulang - repeat)
bosan	bored
pacar	boyfriend, girlfriend
berani	brave
mas	brother
bli	brother (balanese)
sial	bugger, damn it
memanggil	call
ayolah	come on
bicaraan	conversation
menangis	cry
komel	cute
nari	dance
sayang	darling, dear
gambaran	description, picture in mind
jijik	disgusted
ganggu	disturb, annoy
impian	dream, wish
bersenangsenang	enjoying
jahat	evil
adil	fair
pendirian	faith in myself, confidence
perempuan	female
tunangan	fiance
kawan	friend
sahabat	friend
teman	friend
akrab	friendly
ramah	friendly
persahabatan	friendship
menyenangkan	fun, pleasant
lucu	funny
hadiah	gift, present
silikan	go ahead/ be my guest/ help yourself
baik	good
seringai	grin
bersalah	guilty
tampan	handsome
bahagia	happy
senang	happy, glad
bantu	help
menolong	help, assist
membantu	helpful
harap	hope, wish
ketidakadilan	injustice
tertarik	interested
memperkenalkan	introduce
mengajak	invite
mengundang	invite
bercanda	joking, kidding
kenal	know
tertawa	laugh
tawa	laughter
malas	lazy
surat	letter
bohong	lie
mendengar	listen
nasib	luck, fortune
beruntung	lucky
menikah	marry
boleh	may (as in may i)
bertemu	meet, visit
temu	meeting
belas	mercy
pesan	message
anu	mmmm
nakal	naughty
tetangga	neighbour
kabar	news
berita	news (tv or radio)
belum	not yet
catatan	note, records
tua	old
pawai	parade
menelepon	phone
mohon	please
cantik	pretty
hubungan	relationship, connection
agama	religion
hormati	respect
sedih	sad
bilang	said
menikmati	savour, relish
seharusnya	should
malu	shy
mbok	sister (balanese)
mimpi	sleep dream
capek	sleepy
senyum	smile
tersunum	smiling
merokok	smoke
maafkan	sorry for, excuse
pembicara	speaker
beromong	speaking, talking
tinggal	stay, live
aneh	strange, weird
berjemur	sunbathing
bicara	talk, speak
keputusan	decision
haus	thirsty
berkumpul	to gather
berbicara	to speak
maribersulang	toast! cheers!
bersama	together, with
tipu	trick
malumalu	very shy
berperang	warring, fighting
awas	watch out!
kami	we except you
apalah	whatever
bersedia	willing, ready, prepared
wanita	woman
khawatir	worried
resah	worried
kamu	you (informal)
muda	young
