Word	Definition
sebentar	a moment/ not for long time.
sore	afternoon
gugur	autumn (falling down leaves/ fallen soldiers etc)
sebelum	before
segera	soon, right away
sedang	currently
gelap	dark
hari	day
lusa	day after tomorrow, two days time
jaman	era
dulu	formerly
jumat	friday
tadi	just before/ earlier
telat	late
petang	late afternoon
nanti	later
lama	long (for time)
menit	minute
senin	monday
bulan	month, moon
pagi	morning
malam	night
siang	noon
sekarang	now
pukul	o'clock
sering	often
sabtu	saturday
detik	seconds
jarang	seldom, rarely
kapankapan	some time
kadangkadang	sometimes
minggu	sunday
waktulah	take your time
kamis	thursday
zonawaktu	time zone
jam	time, hour
waktu	time/ when
hariini	today
besok	tomorrow
selasa	tuesday
mendatang	upcoming
rabu	wednesday
pekan	week
akhirpekan	weekend
saat	when, at that moment
kapan	when/ what time?
tahun	year
kemarin	yesterday
