Word	Definition
alamat	address
peta	map
arah	direction
atas	on top, upper
solar	diesel
ban	tyre
bandara	airport
barat	west
baratdaya	southwest
baratlaut	northwest
belok	turn
bensin	petrol
berada	am at
berangkat	depart
berhenti	stop
berjalan	walk
bis	bus
buntu	dead end
cepat	fast
daerah	region
dapan	front
dari	from
dekat	near, close
desa	bigger village
dibatalkan	cancelled
kursi	seat
feri	ferry
gang	alleyway
henti	stop
ikut	follow
inap	stay
jahu	far
jalan	road
jalur	path
kamar	room
kampong	village
kanan	right
kapal	boat
kemping	camping
kendaraan	vehicle
keretaapi	train
ketinggalan	left behind
kiri	left
kota	city
kunjung	visit
lalulintus	traffic (then cross)
laut	sea
lewat	through, past
libur	holiday
losmen	guesthouse
lurus	straight ahead
macet	traffic jam
mampet	blocked
masuk	enter
menginap	stay the night
menuju	heading, travelling
menyopir	driving
mesin	engine
naik	go up, ride
negara	country
nusa	homeland
persimpangan	junction
oli	motor oil
pelabuhan	harbour
penginapan	inn
penuh	full
perbatasan	border
pergi	go
perjalanan	trip/ journey
pesawat	plane
pelan	slow
tol	toll
sopir	driver
keluar	exit
ruang	room
selatan	south
sepeda motor	motorcycle
sewa	rent
mobil	car
montir	mechanic
simpang	intersection
tenggara	southeast
terbang	flying
terus	straight ahead, keep going
tiba	arrive
timur	east
timurlaut	northeast
trek	truck
trotoar	sidewalk
turun	down, descend
utara	north
