Word	Definition
musimgugur	autumn
berawan	cloudy
dingin	cold
gelap	dark
derajat	degree (celcius)
gerimis	drizzle
kekeringan	drought
kering	dry
banjir	flood
kabut	fog
prakiraan	forecast
panas	hot
kilat	lightening
bmkg	meteorologist
lembab	moist, humid, damp
mendung	overcast
jashujan	rain coat
pelangi	rainbow
terik	scorching
musim	season
langit	sky
musimsemi	spring
badai	storm
musimpanas	summer
matahari	sun
cerah	sunny
keringat	sweat
suhu	temperature
petir	thunder
kepanasan	too hot
payung	umbrella
hangat	warm
cuaca	weather
basah	wet
hujan	wet weather, rain
angin	wind
berangin	windy
musimdingin	winter
